wrclmch,prtcleat,anweight,party_feel_closest
0.5,3.0,0.7883361,right
-0.5,66.0,1.3238645,none
-0.5,3.0,0.08888855,right
0.0,2.0,0.7006819,middle right
0.0,1.0,0.15479836,middle left
0.0,88.0,0.18327813,none
1.0,5.0,1.3238645,left
0.0,66.0,0.10142515,none
0.5,66.0,0.17811371,none
0.5,66.0,0.51911527,none
0.5,5.0,1.0102668,left
0.0,2.0,0.04563936,middle right
-0.5,66.0,0.058316287,none
0.5,66.0,0.40063697,none
1.0,66.0,1.3238643,none
0.0,5.0,1.0668666,left
0.5,5.0,0.29190952,left
-0.5,1.0,0.038699605,middle left
0.0,2.0,0.2157263,middle right
0.5,66.0,0.4329966,none
